uid,offence,date_start,date_end
10317182,theft from motor vehicle,2016-01-05 18:30,2016-01-06 11:15
10317185,theft from motor vehicle,2016-01-05 21:48,2016-01-06 08:05
10317190,theft from motor vehicle,2016-01-05 21:30,2016-01-06 08:30
10317204,theft from motor vehicle,2016-01-05 23:10,2016-01-06 08:00
10317213,theft from motor vehicle,2016-01-05 23:00,2016-01-06 09:00
10317214,theft of motor vehicle,2016-01-04 23:00,2016-01-07 09:00
10317216,theft from motor vehicle,2016-01-06 00:01,2016-01-06 08:00
10317218,theft from motor vehicle,2016-01-05 18:00,2016-01-06 14:00
10317220,theft of motor vehicle,2016-01-06 03:36,2016-01-06 04:35
10317224,theft from motor vehicle,2016-01-06 04:00,2016-01-06 04:30
10317233,theft from motor vehicle,2016-01-06 04:25,2016-01-06 04:30
10317242,theft from motor vehicle,2016-01-05 21:00,2016-01-06 13:00
10317255,theft from motor vehicle,2016-01-05 18:30,2016-01-06 17:18
10317260,theft from motor vehicle,2016-01-06 05:00,2016-01-06 07:00
10317261,theft from motor vehicle,2016-01-05 23:00,2016-01-06 13:00
10317269,theft of motor vehicle,2016-01-05 23:00,2016-01-06 15:00
10317284,theft of motor vehicle,2016-01-05 21:30,2016-01-06 18:00
10317286,theft from motor vehicle,2016-01-06 06:00,2016-01-06 09:30
10317297,theft from motor vehicle,2016-01-06 00:30,2016-01-06 15:35
10317303,theft from motor vehicle,2016-01-06 08:00,2016-01-06 08:30
10317317,theft of motor vehicle,2016-01-06 05:00,2016-01-06 12:30
10317347,theft from motor vehicle,2016-01-06 06:00,2016-01-06 13:00
10317380,theft from motor vehicle,2016-01-05 12:00,2016-01-07 09:00
10317396,theft from motor vehicle,2016-01-06 10:20,2016-01-06 11:55
10317402,theft from motor vehicle,2016-01-06 07:20,2016-01-06 15:15
10317410,theft from motor vehicle,2016-01-06 11:30,2016-01-06 11:38
10317422,theft of motor vehicle,2016-01-06 08:00,2016-01-06 15:30
10317430,theft from motor vehicle,2016-01-05 12:00,2016-01-07 12:00
10317436,theft from motor vehicle,2016-01-05 11:00,2016-01-07 13:03
10317437,theft from motor vehicle,2016-01-06 12:01,2016-01-06 12:02
10317474,theft from motor vehicle,2016-01-05 18:00,2016-01-07 07:30
10317476,theft from motor vehicle,2016-01-06 08:00,2016-01-06 17:30
10317482,theft from motor vehicle,2016-01-06 12:00,2016-01-06 14:00
10317522,theft from motor vehicle,2016-01-06 13:30,2016-01-06 14:25
10317568,theft from motor vehicle,2016-01-06 13:00,2016-01-06 16:00
10317572,theft from motor vehicle,2016-01-06 12:30,2016-01-06 16:30
10317591,theft from motor vehicle,2016-01-05 22:00,2016-01-07 07:40
10317602,theft from motor vehicle,2016-01-04 15:00,2016-01-08 15:00
10317616,theft of motor vehicle,2016-01-06 15:05,2016-01-06 15:10
10317640,theft from motor vehicle,2016-01-03 16:00,2016-01-09 15:00
10317642,theft from motor vehicle,2016-01-06 00:00,2016-01-07 07:00
10317657,theft of motor vehicle,2016-01-06 08:30,2016-01-06 23:00
10317731,theft of motor vehicle,2016-01-06 11:30,2016-01-06 22:00
10317744,theft of motor vehicle,2016-01-06 15:00,2016-01-06 19:00
10317833,theft of motor vehicle,2016-01-05 20:00,2016-01-07 17:00
10317850,theft from motor vehicle,2016-01-06 18:40,2016-01-06 18:50
10317868,theft from motor vehicle,2016-01-06 10:00,2016-01-07 04:00
10317886,theft from motor vehicle,2016-01-06 19:00,2016-01-06 19:30
10317972,theft from motor vehicle,2016-01-06 19:30,2016-01-06 22:00
10317996,theft of motor vehicle,2016-01-06 14:00,2016-01-07 05:00
10318009,theft from motor vehicle,2016-01-06 21:30,2016-01-06 22:00
10318022,theft of motor vehicle,2016-01-06 22:00,2016-01-06 22:30
10318027,theft from motor vehicle,2016-01-06 15:00,2016-01-07 05:45
10318036,theft from motor vehicle,2016-01-06 14:00,2016-01-07 07:00
10318053,theft of motor vehicle,2016-01-06 22:30,2016-01-06 23:00
10318068,theft from motor vehicle,2016-01-06 19:00,2016-01-07 03:20
10318087,theft from motor vehicle,2016-01-06 23:30,2016-01-06 23:45
10318092,theft from motor vehicle,2016-01-06 19:30,2016-01-07 04:00
